block_id,service_id,schedule_number
block_883,service_3,52/10
block_884,service_3,52/11
block_885,service_3,52/12
block_886,service_3,52/13
block_887,service_3,52/14
block_771,service_3,4/01
block_772,service_3,4/02
block_773,service_3,4/03
block_774,service_3,4/04
block_775,service_3,4/05
block_776,service_3,4/06
block_777,service_3,4/07
block_788,service_3,8/01
block_789,service_3,8/02
block_790,service_3,8/03
block_791,service_3,8/04
block_792,service_3,8/05
block_793,service_3,8/06
block_813,service_3,13/01
block_814,service_3,13/02
block_815,service_3,13/03
block_816,service_3,13/04
block_817,service_3,13/05
block_818,service_3,13/06
block_838,service_3,20/01
block_839,service_3,20/02
block_840,service_3,20/03
block_841,service_3,20/04
block_842,service_3,20/05
block_778,service_3,5/01
block_779,service_3,5/02
block_780,service_3,5/03
block_781,service_3,5/04
block_782,service_3,5/05
block_819,service_3,14/01
block_820,service_3,14/02
block_821,service_3,14/03
block_822,service_3,14/04
block_823,service_3,14/05
block_824,service_3,14/06
block_825,service_3,14/07
block_762,service_3,2/01
block_763,service_3,2/02
block_764,service_3,2/03
block_783,service_3,6/01
block_784,service_3,6/02
block_785,service_3,6/03
block_786,service_3,6/04
block_787,service_3,6/05
block_800,service_3,10/01
block_801,service_3,10/02
block_802,service_3,10/03
block_803,service_3,10/04
block_804,service_3,10/05
block_805,service_3,10/06
block_806,service_3,10/07
block_807,service_3,10/08
block_826,service_3,17/01
block_827,service_3,17/02
block_828,service_3,17/03
block_829,service_3,17/04
block_830,service_3,17/05
block_600,service_1,75/01
block_601,service_1,75/02
block_602,service_1,75/03
block_603,service_1,75/04
block_604,service_1,75/05
block_605,service_1,75/06
block_606,service_1,75/07
block_607,service_1,75/08
block_608,service_1,75/09
block_363,service_1,1/01
block_364,service_1,1/02
block_365,service_1,1/03
block_366,service_1,1/04
block_367,service_1,1/05
block_368,service_1,1/06
block_369,service_1,1/07
block_370,service_1,1/08
block_371,service_1,1/09
block_372,service_1,1/10
block_373,service_1,1/11
block_374,service_1,1/12
block_375,service_1,1/13
block_376,service_1,1/14
block_377,service_1,1/15
block_507,service_1,19/01
block_508,service_1,19/02
block_509,service_1,19/03
block_510,service_1,19/04
block_511,service_1,19/05
block_512,service_1,19/06
block_531,service_1,22/01
block_532,service_1,22/02
block_533,service_1,22/03
block_534,service_1,22/04
block_535,service_1,22/05
block_536,service_1,22/06
block_537,service_1,22/07
block_538,service_1,22/08
block_539,service_1,22/09
block_540,service_1,22/10
block_541,service_1,22/11
block_382,service_1,3/01
block_383,service_1,3/02
block_384,service_1,3/03
block_385,service_1,3/04
block_386,service_1,3/05
block_387,service_1,3/06
block_388,service_1,3/07
block_389,service_1,3/08
block_390,service_1,3/09
block_391,service_1,3/10
block_392,service_1,3/11
block_393,service_1,3/12
block_394,service_1,3/13
block_395,service_1,3/14
block_434,service_1,9/01
block_435,service_1,9/02
block_436,service_1,9/03
block_437,service_1,9/04
block_438,service_1,9/05
block_439,service_1,9/06
block_440,service_1,9/07
block_441,service_1,9/08
block_452,service_1,11/01
block_453,service_1,11/02
block_454,service_1,11/03
block_455,service_1,11/04
block_456,service_1,11/05
block_457,service_1,11/06
block_458,service_1,11/07
block_542,service_1,24/01
block_543,service_1,24/02
block_544,service_1,24/03
block_545,service_1,24/04
block_546,service_1,24/05
block_547,service_1,24/06
block_548,service_1,24/07
block_549,service_1,24/08
block_556,service_1,50/01
block_557,service_1,50/02
block_558,service_1,50/03
block_559,service_1,50/04
